title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop",87990.0,3.9,,HP,,512GB SSD,Ryzen 7,Windows 11,15.6,Blue
"acer Professional 14[New Launch], 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, Win11 Pro, MSO21, 14inch FHD Laptop, 3 Year Warranty, 1 Year Anti Virus, Fingerprint, Backlit KB",83690.0,4.1,,acer,,1TB SSD,i7,Windows 11,14,
Ultimus Pentium Quad Core Laptop|Student & Office Work Laptop|Dual Storage eMMC+SSD Expandable~1TB|1.2Kg|180° Hinge|Win 11 Home|4GB RAM 128GB|HDMI SD Card Slot | ‎Dual Speaker|Matt Silver,12990.0,2.4,,Ultimus,4GB,,,Windows 11,,Silver
"Dell Inspiron 3530, Intel Core i7 13th Gen -1355U, 16GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office H&S 2024, Silver, 1.62kg, Inspiron 3530, Backlit KB, M365, 15 Month McAfee Laptop",69490.0,3.8,,Dell,16GB,512GB SSD,i7,Windows 11,15.6,Silver
"Dell 14, Intel 14th Generation Intel Core 5, 16 GB:DDR5 RAM, 512GB, FHD+ 14""/35.56cm 300 Nits Display, Backlit Keyboard + FPR, Win 11, Office H&S 2024, Platinum Silver, 1.54Kg Thin & Light Laptop",62990.0,3.9,,Dell,,,,Windows 11,14,Silver
"Lenovo IdeaPad Slim 1, AMD Ryzen 5 5500U, 16GB RAM, 512GB SSD, HD, 15.6"", Windows 11 Home, MS Office 21, Cloud Grey, 1.61Kg, 82R400ERIN, Integrated AMD Graphics, 1Yr ADP Free, Thin and Light Laptop",41000.0,4.0,,Lenovo,16GB,512GB SSD,Ryzen 5,Windows 11,15.6,Grey
"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Quiet Blue, 1.70 kg, X1504VA-BQ342WS, Laptop",41990.0,4.2,,ASUS,16GB,512GB SSD,i3,Windows 11,15.6,Blue
"Dell 15, Intel Core 3, 14th Gen-100U, 8GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11, Office H&S 2024, Carbon Black, 1.63Kg, Dell 15, Intel UHD Graphics, 120Hz 250 nit, Thin & Light, Laptop",39990.0,4.0,,Dell,,512GB SSD,,Windows 11,15.6,Black
"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, MSO-24, Platinum Silver, 1.63Kg, [Dell 15], 120Hz 250nits, AMD Radeon Graphics, Standard Keyboard, Thin & Light, Laptop",51990.0,3.6,,Dell,,512GB SSD,Ryzen 7,Windows 11,15.6,Silver
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",32999.0,3.9,,Lenovo,,512 GB SSD,,Windows 11,15.6,Silver
"acer Professional14[New Launch], AMD Ryzen5 7430U Turbo Boost, 16GB DDR4, 512GB SSD, Win11 Pro, MSO21, 3 Year Warranty, IPS 14"" FHD HDR Laptop, Metal Body, Anti Virus",47990.0,4.0,,acer,,512GB SSD,Ryzen5,Windows 11,14,
"HP 255 G10 Laptop for Home or Work, 16GB RAM DDR5, 512GB SSD, 15.6"" Full HD, Ryzen 3 7335U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11",40200.0,4.3,,HP,16GB,512GB SSD,Ryzen 3,Windows 11,15.6,
"Wembley Educational Laptop for Kids Toys for 2-5 Years Learning Activity Computer Educational Toy for 3 Years Old Boy Learn Alphabet,Letter,Words,Games,Mathematics,Music,Logic Memory Tool,Multicolour",839.0,3.9,,Wembley,,,,,,
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU",40990.0,3.9,,HP,,512GB SSD,i3,Windows 11,15.6,Silver
"acer Aspire Lite, 12th gen, Intel Core i5-12450H Processor, 16 GB, 512GB, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MSO, Pure Silver, 1.70 kg, AL15-52H, Backlit Keyboard",48990.0,4.0,,acer,,,i5,Windows 11,15.6,Silver
"ASUS Chromebook CX1405, Intel Celeron N4500, 8GB RAM, 128GB, FHD 14""(35.56cm), Chrome OS, Quiet Blue, 1.4Kg, CX1405CKA-S60394, Intel UHD Graphics, 42WHrs, Thin & Light Laptop",25990.0,3.5,,ASUS,8GB,,,,14,Blue
"HP Pavilion Plus, Intel Core i5-1335U-13th Gen Laptop, (16GB LPDDR5x,512GB SSD),IPS, 300 nits, 14''(35.6cm) 2K,Win 11, M365 Basic(1yr), Office Home 24, Silver,1.38kg, 5MP Camera w/Shutter, ew0107TU",61990.0,3.6,,HP,,512GB SSD,i5,Windows 11,14,Silver
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey",49999.0,4.2,,Lenovo,,512GB SSD,Ryzen 7,Windows 11,15.6,Grey
"ASUS Vivobook 14, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.40kg, X1404VA-NK761WS, Intel UHD, M365 Basic (1Year)*, Backlit Keyboard Laptop",35990.0,3.9,,ASUS,8GB,512GB SSD,i3,Windows 11,14,Silver
"Dyazo 6 Angle Foldable & Portable Laptop Riser Stand Made with Aluminum Alloy |Compatible for Dell, Mac Book Air/Pro, Lenovo Acer Hp Asus & Other Laptop from 11.6 inch to 15.6 Inches- Black",368.0,4.3,,Dyazo,,,,,11.6,Black
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 1TB SSD - Black - ZIB-00031,180990.0,2.9,,Microsoft,16GB,1TB SSD,,Windows 11,,Black
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Black - ZIA-00031,165990.0,4.2,,Microsoft,16GB,512GB SSD,,Windows 11,,Black
"Microsoft New Surface Pro (11Th Edition)-Windows 11 Home Copilot + PC-13.8"" LCD Pixelsense Touchscreen Bluetooth,Wi-Fi-Qualcomm Snapdragon X Plus (10 Core)-16Gb Ram-512Gb Ssd-Black-Zhy-00032",134990.0,4.3,,Microsoft,16GB,512Gb Ssd,,Windows 11,13.8,Blue
"Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",298.0,4.3,,Dyazo,,,,,15,Grey
"Microsoft New Surface Pro(11Th Edition) Wi-Fi-Windows 11 Home Copilot + Pc -13"" OLED Pixelsense Touchscreen -Qualcomm Snapdragon X Elite(12 Core) -16Gb Ram -512Gb Ssd -Platinum - ZIA-00014",169990.0,4.2,,Microsoft,16GB,512Gb Ssd,,Windows 11,13,
"Lenovo LOQ, AMD Ryzen 5 7235HS, RTX 3050A-4GB, 12GB RAM, 512GB SSD, [FHD], 15.6""/39.6cm, 144Hz, Windows 11, Office Home 2024, Grey, 2.4Kg, 83JC00HNIN, 3 Mon. Game Pass, Gaming Laptop",63016.0,4.1,,Lenovo,12GB,512GB SSD,Ryzen 5,Windows 11,15.6,Grey
